D_id,G_id,paper
MESH:D003398,4838,1
MESH:D003398,29072,1
MESH:D003398,822,1
MESH:D003398,28981,1
MESH:D003398,5362,1
MESH:D003398,4043,1
MESH:D003398,846,1
MESH:D003398,8243,1
MESH:D003398,4613,1
MESH:D003398,2869,1
MESH:D003398,2321,1
MESH:D003398,5653,1
MESH:D003398,6422,1
MESH:D003398,9260,1
MESH:D003398,27344,1
MESH:D003398,2019,1
MESH:D003398,3036,1
MESH:D003398,3209,1
MESH:D003398,2626,1
MESH:D003398,9759,1
MESH:D003398,90,1
MESH:D003398,5745,1
MESH:D003398,3952,1
MESH:D003398,472,1
MESH:D003398,5917,1
MESH:D003398,27299,1
MESH:D003398,5781,1
MESH:D003398,79068,1
MESH:D003398,23389,1
MESH:D003398,25803,1
MESH:D003398,8655,1
MESH:D003398,9024,1
MESH:D003398,1158,1
MESH:D003398,81555,1
MESH:D003398,54432,1
MESH:D003398,78992,1
MESH:D003398,1493,2
MESH:D003398,2875,2
MESH:D003398,4174,2
MESH:D003398,10664,2
MESH:D003398,51135,2
MESH:D003398,160364,2
MESH:D003398,5430,2
MESH:D003398,2475,2
MESH:D003398,4436,2
MESH:D003398,7428,2
MESH:D003398,3799,2
MESH:D003398,1278,2
MESH:D003398,11201,2
MESH:D003398,728378,2
MESH:D003398,1822,2
MESH:D003398,1489,2
MESH:D003398,5530,2
MESH:D003398,7070,2
MESH:D003398,6591,2
MESH:D003398,2214,2
MESH:D003398,1954,2
MESH:D003398,5729,2
MESH:D003398,5053,2
MESH:D003398,383,2
MESH:D003398,4920,2
MESH:D003398,7474,2
MESH:D003398,292,2
MESH:D003398,7082,2
MESH:D003398,30009,2
MESH:D003398,919,2
MESH:D003398,6491,2
MESH:D003398,836,2
MESH:D003398,5731,2
MESH:D003398,545,2
MESH:D003398,833,2
MESH:D003398,4072,2
MESH:D003398,2736,2
MESH:D003398,50848,2
MESH:D003398,1991,2
MESH:D003398,2993,2
MESH:D003398,1043,2
MESH:D003398,2296,2
MESH:D003398,6423,2
MESH:D003398,3575,2
MESH:D003398,6624,2
MESH:D003398,1084,2
MESH:D003398,4691,2
MESH:D003398,80816,2
MESH:D003398,6647,2
MESH:D003398,10482,2
MESH:D003398,3381,2
MESH:D003398,285590,2
MESH:D003398,7472,2
MESH:D003398,4879,2
MESH:D003398,969,2
MESH:D003398,1178,2
MESH:D003398,921,2
MESH:D003398,3105,2
MESH:D003398,23511,2
MESH:D003398,7490,2
MESH:D003398,59067,2
MESH:D003398,3593,2
MESH:D003398,26121,2
MESH:D003398,924,2
MESH:D003398,392255,2
MESH:D003398,8200,2
MESH:D003398,909,2
MESH:D003398,2180,2
MESH:D003398,10818,2
MESH:D003398,26122,2
MESH:D003398,10225,2
MESH:D003398,9742,2
MESH:D003398,51098,2
MESH:D003398,1613,2
MESH:D003398,57633,2
MESH:D003398,3708,2
MESH:D003398,51185,2
MESH:D003398,5159,2
MESH:D003398,284058,2
MESH:D003398,3643,2
MESH:D003398,4051,2
MESH:D003398,23498,2
MESH:D003398,9662,2
MESH:D003398,7337,2
MESH:D003398,3207,2
MESH:D003398,1758,2
MESH:D003398,1030,2
MESH:D003398,84680,2
MESH:D003398,2006,2
MESH:D003398,5079,2
MESH:D003398,174,2
MESH:D003398,29126,1
MESH:D003398,3601,1
MESH:D003398,3008,1
MESH:D003398,1984,1
MESH:D003398,356,1
MESH:D003398,8549,1
MESH:D003398,4172,1
MESH:D003398,4176,1
MESH:D003398,4175,1
MESH:D003398,4171,1
MESH:D003398,4173,1
MESH:D003398,91937,1
MESH:D003398,1958,1
MESH:D003398,6528,1
MESH:D003398,9314,1
MESH:D003398,4771,1
MESH:D003398,6598,1
MESH:D003398,1739,1
MESH:D003398,168667,1
MESH:D003398,9201,1
MESH:D003398,5553,1
MESH:D003398,1978,1
MESH:D003398,6223,1
MESH:D003398,4595,1
MESH:D003398,2184,1
MESH:D003398,2073,1
MESH:D003398,29102,1
MESH:D003398,11200,1
MESH:D003398,338339,1
MESH:D003398,8291,1
MESH:D003398,3805,1
MESH:D003398,5479,1
MESH:D003398,11331,1
MESH:D003398,4125,1
MESH:D003398,64425,1
MESH:D003398,10733,1
MESH:D003398,6717,1
MESH:D003398,5518,1
MESH:D003398,4851,1
MESH:D003398,8850,1
MESH:D003398,55017,1
MESH:D003398,6925,1
MESH:D003398,8771,1
MESH:D003398,4803,1
MESH:D003398,6285,1
MESH:D003398,6281,1
MESH:D003398,10232,1
MESH:D003398,2960,1
MESH:D003398,3439,1
MESH:D003398,3140,1
MESH:D003398,3627,1
MESH:D003398,6713,1
MESH:D003398,1723,1
MESH:D003398,10262,1
MESH:D003398,9343,1
MESH:D003398,4907,1
MESH:D003398,648,1
MESH:D003398,8792,1
MESH:D003398,7177,1
MESH:D003398,4208,1
MESH:D003398,9986,1
MESH:D003398,85440,1
MESH:D003398,8720,1
MESH:D003398,4015,1
MESH:D003398,3240,1
MESH:D003398,10736,1
MESH:D003398,26038,1
MESH:D003398,3991,1
MESH:D003398,478,1
MESH:D003398,4103,1
MESH:D003398,10251,1
MESH:D003398,27328,1
MESH:D003398,90316,1
MESH:D003398,158866,1
MESH:D003398,546,1
MESH:D003398,7113,1
MESH:D003398,5473,1
MESH:D003398,8139,1
MESH:D003398,3674,1
MESH:D003398,118429,1
MESH:D003398,50512,1
MESH:D003398,2004,1
MESH:D003398,10127,1
MESH:D003398,4583,1
MESH:D003398,1161,1
MESH:D003398,10592,1
MESH:D003398,6942,1
MESH:D003398,7827,1
MESH:D003398,729238,1
MESH:D003398,657,1
MESH:D003398,23462,1
MESH:D003398,79776,1
MESH:D003398,5104,1
MESH:D003398,11319,1
MESH:D003398,159371,1
MESH:D003398,7855,1
MESH:D003398,5730,1
MESH:D003398,4513,1
MESH:D003398,146,1
MESH:D003398,3164,1
MESH:D003398,116255,1
MESH:D003398,6351,1
MESH:D003398,9173,1
MESH:D003398,100506658,1
MESH:D003398,23065,1
MESH:D003398,9076,1
MESH:D003398,1364,1
MESH:D003398,7015,1
MESH:D003398,128553,1
MESH:D003398,27035,1
MESH:D003398,5972,1
MESH:D003398,1471,1
MESH:D003398,6521,1
MESH:D003398,3554,1
MESH:D003398,4283,1
MESH:D003398,6373,1
MESH:D003398,1592,1
MESH:D003398,79158,1
MESH:D003398,5733,1
MESH:D003398,9982,1
MESH:D003398,3675,1
MESH:D003398,114769,1
MESH:D003398,6097,1
MESH:D003398,2152,1
MESH:D003398,91179,1
MESH:D003398,60496,1
MESH:D003398,5931,1
MESH:D003398,5928,1
MESH:D003398,9112,1
MESH:D003398,7099,1
MESH:D003398,7097,1
MESH:D003398,10333,1
MESH:D003398,51561,1
MESH:D003398,51284,1
MESH:D003398,84557,1
MESH:D003398,2597,1
MESH:D003398,6175,1
MESH:D003398,6176,1
MESH:D003398,113189,1
MESH:D003398,29940,1
MESH:D003398,2920,1
MESH:D003398,2919,1
MESH:D003398,50616,1
MESH:D003398,5137,1
MESH:D003398,1718,1
MESH:D003398,10687,1
MESH:D003398,2821,1
MESH:D003398,1769,1
MESH:D003398,479,1
MESH:D003398,80204,1
MESH:D003398,2034,1
MESH:D003398,805,1
MESH:D003398,9419,1
MESH:D003398,5581,1
MESH:D003398,2956,1
MESH:D003398,9378,1
MESH:D003398,57217,1
MESH:D003398,3973,1
MESH:D003398,90411,1
MESH:D003398,2239,1
MESH:D003398,1495,1
MESH:D003398,923,1
MESH:D003398,11167,1
MESH:D003398,1806,1
MESH:D003398,2294,1
MESH:D003398,2297,1
MESH:D003398,7471,1
MESH:D003398,2295,1
MESH:D003398,2984,1
MESH:D003398,3758,1
MESH:D003398,4798,1
MESH:D003398,2313,1
MESH:D003398,170689,1
MESH:D003398,83700,1
MESH:D003398,2113,1
MESH:D003398,4709,1
MESH:D003398,6125,1
MESH:D003398,5175,1
MESH:D003398,2867,1
MESH:D003398,6317,1
MESH:D003398,2209,1
MESH:D003398,11285,1
MESH:D003398,64131,1
MESH:D003398,126792,1
MESH:D003398,1374,1
MESH:D003398,7468,1
MESH:D003398,913,1
MESH:D003398,5714,1
MESH:D003398,27022,1
MESH:D003398,79944,1
MESH:D003398,23586,1
MESH:D003398,80309,1
MESH:D003398,29851,1
MESH:D003398,4703,1
MESH:D003398,11141,1
MESH:D003398,9377,1
MESH:D003398,11014,1
MESH:D003398,27102,1
MESH:D003398,54476,1
MESH:D003398,5395,1
MESH:D003398,654231,1
MESH:D003398,221955,1
MESH:D003398,80028,1
MESH:D003398,9265,1
MESH:D003398,5879,1
MESH:D003398,392862,1
MESH:D003398,7965,1
MESH:D003398,7559,1
MESH:D003398,185,1
MESH:D003398,5764,1
MESH:D003398,114899,1
MESH:D003398,306,1
MESH:D003398,26999,1
MESH:D003398,199699,1
MESH:D003398,811,1
MESH:D003398,773,1
MESH:D003398,54862,1
MESH:D003398,84292,1
MESH:D003398,717,1
MESH:D003398,5657,1
MESH:D003398,64863,1
MESH:D003398,131368,1
MESH:D003398,1215,1
MESH:D003398,1359,1
MESH:D003398,8774,1
MESH:D003398,57167,1
MESH:D003398,6910,1
MESH:D003398,2641,1
MESH:D003398,4313,1
MESH:D003398,3861,1
MESH:D003398,140947,1
MESH:D003398,92610,1
MESH:D003398,4762,1
MESH:D003398,497189,1
MESH:D003398,6583,1
MESH:D003398,6899,1
MESH:D003398,1312,1
MESH:D003398,3654,1
MESH:D003398,3485,1
MESH:D003398,43,1
MESH:D003398,1668,1
MESH:D003398,4878,1
MESH:D003398,671,1
MESH:D003398,11162,1
MESH:D003398,55969,1
MESH:D003398,3598,1
MESH:D003398,3902,1
MESH:D003398,840,1
MESH:D003398,100133941,1
MESH:D003398,84868,1
MESH:D003398,2526,1
MESH:D003398,914,1
MESH:D003398,911,1
MESH:D003398,8550,1
MESH:D003398,25,1
MESH:D003398,3949,1
MESH:D003398,3383,1
MESH:D003398,246100,1
MESH:D003398,686,1
MESH:D003398,2322,1
MESH:D003398,3418,1
MESH:D003398,3562,1
MESH:D003398,3684,1
MESH:D003398,4854,1
MESH:D003398,2033,1
MESH:D003398,23529,1
MESH:D003398,9021,1
MESH:D003398,6863,1
MESH:D003398,27178,1
MESH:D003398,3171,1
MESH:D003398,3073,1
MESH:D003398,5243,1
MESH:D003398,27445,1
MESH:D003398,84107,1
MESH:D003398,94025,1
MESH:D003398,57587,1
MESH:D003398,11251,1
MESH:D003398,3820,1
MESH:D003398,5925,1
MESH:D003398,3454,1
MESH:D003398,3455,1
MESH:D003398,4312,1
MESH:D003398,4316,1
MESH:D003398,1387,1
MESH:D003398,9965,1
MESH:D003398,7436,1
MESH:D003398,958,1
MESH:D003398,942,1
MESH:D003398,939,1
MESH:D003398,2098,1
MESH:D003398,695,1
MESH:D003398,3162,1
MESH:D003398,57817,1
MESH:D003398,762,1
MESH:D003398,760,1
MESH:D003398,761,1
MESH:D003398,51018,1
MESH:D003398,6948,1
MESH:D003398,2346,1
MESH:D003398,83706,1
MESH:D003398,967,1
MESH:D003398,3559,1
MESH:D003398,952,1
MESH:D003398,2137,1
